# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
361.8,128.538,1.73,-8.88,0.00088,0.00038
361.9,128.547,1.8,-8.97,NaN,NaN
362,128.557,1.83,-8.92,0.00077,0.00032
362.1,128.566,1.66,-9.11,NaN,NaN
362.2,128.576,1.64,-9.16,0.00081,0.00033
362.3,128.585,1.53,-9.15,NaN,NaN
362.4,128.595,1.61,-9.02,0.00091,0.0003
362.5,128.604,1.59,-8.98,NaN,NaN
362.6,128.614,1.65,-9.09,0.00086,0.00033
362.7,128.623,1.53,-9.24,NaN,NaN
362.8,128.632,1.57,-9.05,0.00087,0.00034
362.9,128.642,1.52,-9.1,NaN,NaN
363,128.651,1.47,-8.97,0.00095,0.0004
363.1,128.661,1.61,-8.89,NaN,NaN
363.2,128.67,1.67,-8.55,0.00087,0.00045
363.3,128.68,1.58,-8.55,NaN,NaN
363.4,128.689,1.2,-8.63,0.00092,0.00035
363.5,128.699,1.13,-8.59,NaN,NaN
363.6,128.708,1.06,-8.5,0.00094,0.0004
363.7,128.718,1.15,-8.63,NaN,NaN
363.8,128.727,1.17,-8.55,0.00103,0.00054
363.9,128.736,1.33,-8.52,NaN,NaN
364,128.746,1.45,-8.73,0.00094,0.00056
364.1,128.759,1.44,-8.76,NaN,NaN
364.2,128.773,1.53,-8.68,0.001,0.00052
364.3,128.786,1.6,-8.75,NaN,NaN
364.4,128.799,1.57,-8.67,0.00114,0.00066
364.5,128.813,1.62,-8.48,NaN,NaN
364.6,128.826,1.59,-8.55,0.00113,0.00064
364.7,128.839,1.76,-8.35,NaN,NaN
364.8,128.853,1.74,-8.31,0.00098,0.00063
364.9,128.866,1.78,-8.27,NaN,NaN
365,128.879,1.82,-8.17,0.0012,0.00073
365.1,128.893,1.8,-8.1,NaN,NaN
365.2,128.906,1.79,-8.01,0.00121,0.00073
365.3,128.919,1.89,-8.03,NaN,NaN
365.4,128.933,1.92,-7.82,0.00122,0.0008
365.5,128.946,1.83,-7.71,NaN,NaN
365.6,128.959,1.92,-7.71,0.00131,0.00073
365.7,128.973,2.08,-7.42,NaN,NaN
365.8,128.986,2.18,-7.3,0.0014,0.00094
365.9,128.999,2.4,-7.12,NaN,NaN
366,129.013,2.58,-6.91,0.00141,0.00108
366.1,129.026,2.76,-6.79,NaN,NaN
366.2,129.039,2.89,-6.63,0.00148,0.00098
366.3,129.053,3.06,-6.45,NaN,NaN
366.4,129.066,3.17,-6.35,0.00152,0.00107
366.5,129.079,3.29,-6.21,NaN,NaN
366.6,129.093,3.33,-6.19,0.00161,0.00119
366.7,129.106,3.26,-6.25,NaN,NaN
366.8,129.119,3.24,-6.23,0.00156,0.00118
366.9,129.133,3.1,-6.24,NaN,NaN
367,129.146,3.03,-6.25,0.00158,0.00147
367.1,129.159,2.98,-6.22,NaN,NaN
367.2,129.173,2.93,-6.16,0.00168,0.00151
367.3,129.186,2.94,-6.22,NaN,NaN
367.4,129.199,2.92,-6.12,0.00153,0.00135
367.5,129.213,2.93,-6.17,NaN,NaN
367.6,129.275,2.89,-6.16,0.00171,0.00142
367.7,129.338,2.88,-6.15,NaN,NaN
367.8,129.401,2.89,-6.27,0.00169,0.00147
367.9,129.464,2.95,-6.21,NaN,NaN
368,129.526,3.07,-6.17,0.00176,0.00146
368.1,129.589,3.15,-6.14,NaN,NaN
368.2,129.621,3.07,-6.18,0.00192,0.0014
368.3,129.654,3.07,-6.24,NaN,NaN
368.4,129.686,3.15,-6.13,0.00192,0.00135
368.5,129.719,3.12,-6.27,NaN,NaN
368.6,129.751,3.07,-6.2,0.00178,0.00128
368.7,129.783,3,-6.26,NaN,NaN
368.8,129.816,3.02,-6.28,0.00185,0.00137
368.9,129.848,2.96,-6.37,NaN,NaN
369,129.881,2.93,-6.3,0.00176,0.00128
369.1,129.913,2.89,-6.22,NaN,NaN
369.2,129.945,2.73,-6.26,0.00188,0.0014
369.3,129.978,2.8,-6.27,NaN,NaN
369.4,130.01,2.84,-6.27,0.00191,0.00134
369.5,130.043,2.78,-6.28,NaN,NaN
369.6,130.075,2.95,-6,0.00199,0.00135
369.7,130.107,3.04,-5.87,NaN,NaN
369.8,130.14,2.95,-5.92,0.00187,0.00157
369.9,130.172,3.03,-5.9,NaN,NaN
370,130.204,3.4,-5.76,0.00196,0.00126
370.1,130.237,3.44,-5.83,NaN,NaN
370.2,130.269,3.33,-5.83,0.002,0.00126
370.3,130.302,3.39,-5.83,NaN,NaN
370.4,130.334,3.39,-5.81,0.00183,0.00128
370.6,130.399,3.34,-5.66,0.00194,0.00113
370.7,130.431,3.4,-5.7,NaN,NaN
370.8,130.464,3.22,-5.84,0.00194,0.00128
370.9,130.496,3.09,-5.89,NaN,NaN
371,130.528,3.14,-5.74,0.00203,0.00132
371.1,130.561,3.11,-5.81,NaN,NaN
371.2,130.593,NaN,NaN,0.00209,0.00136
371.3,130.626,3.02,-5.98,NaN,NaN
371.4,130.658,3.05,-5.81,0.00206,0.0013
371.5,130.69,2.75,-6.06,NaN,NaN
371.6,130.723,2.91,-6.04,0.00199,0.00129
371.7,130.755,2.86,-6.11,NaN,NaN
371.8,130.787,2.84,-6.11,0.0021,0.00123
371.9,130.82,2.77,-6.15,NaN,NaN
372,130.852,2.86,-6.32,0.00194,0.00129
372.1,130.885,2.92,-6.11,NaN,NaN
372.2,130.917,2.9,-6.06,0.00195,0.00131
372.3,130.949,2.89,-6.15,NaN,NaN
372.4,130.982,2.77,-6.15,0.00194,0.00123
372.5,131.014,2.72,-6.19,NaN,NaN
372.6,131.047,2.83,-6.13,0.00201,0.00135
372.7,131.079,2.8,-6.19,NaN,NaN
372.8,131.111,2.68,-6.18,0.00197,0.00137
372.9,131.144,2.76,-6.12,NaN,NaN
373,131.176,2.79,-6.15,0.00199,0.0014
373.1,131.209,2.78,-6.17,NaN,NaN
373.2,131.241,2.84,-6.2,0.00196,0.00127
373.3,131.273,2.85,-6.19,NaN,NaN
373.4,131.306,2.76,-6.25,0.00206,0.00131
373.5,131.338,2.77,-6.16,NaN,NaN
373.6,131.371,2.73,-6.25,0.00195,0.00115
373.7,131.403,2.81,-6.12,NaN,NaN
373.8,131.435,2.94,-6.04,0.00205,0.00124
373.9,131.468,2.85,-6.11,NaN,NaN
374,131.5,2.7,-6.11,0.00208,0.00127
374.1,131.532,2.94,-6,NaN,NaN
374.2,131.565,3.04,-5.9,0.00208,0.00129
374.3,131.597,3.19,-6.08,NaN,NaN
374.4,131.63,3.44,-5.8,0.00209,0.00136
374.5,131.662,3.33,-5.91,NaN,NaN
374.6,131.694,3.28,-5.91,0.00214,0.00124
374.7,131.727,3.53,-6,NaN,NaN
374.8,131.759,3.54,-5.96,0.00216,0.00124
374.9,131.792,3.67,-6.06,NaN,NaN
375,131.824,3.65,-5.9,0.00213,0.00118
375.1,131.856,3.62,-5.94,NaN,NaN
375.2,131.889,3.61,-5.91,0.00219,0.00117
375.3,131.921,3.6,-5.91,NaN,NaN
375.4,131.954,3.54,-5.8,0.00215,0.00122
375.5,131.986,3.65,-5.75,NaN,NaN
375.6,132.018,3.95,-5.75,0.00211,0.00129
375.7,132.051,3.93,-5.78,NaN,NaN
375.8,132.083,4.17,-5.58,0.00214,0.00119
375.9,132.115,4.22,-5.58,NaN,NaN
376,132.148,4.45,-5.57,0.00223,0.00125
376.1,132.18,4.37,-5.58,NaN,NaN
376.2,132.213,4.38,-5.67,0.00212,0.00125
376.3,132.245,4.38,-5.56,NaN,NaN
376.4,132.277,4.16,-5.6,0.00224,0.00119
376.5,132.31,3.97,-5.66,NaN,NaN
376.6,132.342,3.87,-5.74,0.00221,0.00121
376.7,132.375,3.82,-5.91,NaN,NaN
376.8,132.407,3.85,-5.63,0.00238,0.00121
376.9,132.439,3.61,-5.83,NaN,NaN
377,132.472,3.53,-5.88,0.00236,0.0012
377.1,132.504,3.51,-5.81,NaN,NaN
377.2,132.537,3.31,-5.88,0.00234,0.00117
377.3,132.569,3.33,-5.82,NaN,NaN
377.4,132.601,3.31,-5.76,0.00227,0.00114
377.5,132.634,3.27,-5.92,NaN,NaN
377.6,132.666,3.37,-5.61,0.00238,0.00121
377.7,132.699,3.31,-5.71,NaN,NaN
377.8,132.731,3.27,-5.72,0.00226,0.00108
377.9,132.763,3.26,-5.6,NaN,NaN
378,132.796,3.25,-5.64,0.00222,0.00115
378.1,132.828,3.36,-5.66,NaN,NaN
378.2,132.86,3.05,-5.72,0.00217,0.00117
378.3,132.893,3.02,-5.88,NaN,NaN
378.4,132.925,3.03,-5.92,0.00225,0.00105
378.5,132.958,2.89,-5.94,NaN,NaN
378.6,132.99,2.9,-5.95,0.00229,0.0011
378.7,133.022,2.87,-5.91,NaN,NaN
378.8,133.055,2.84,-5.97,0.00222,0.00111
378.9,133.087,2.78,-6.06,NaN,NaN
379,133.12,2.67,-6.25,0.00215,0.00107
379.1,133.152,2.68,-6.19,NaN,NaN
379.2,133.184,2.85,-6.07,0.00213,0.00109
379.3,133.217,2.76,-6.1,NaN,NaN
379.4,133.249,2.87,-6.05,0.00204,0.00112
379.5,133.282,2.82,-6.3,NaN,NaN
379.6,133.314,2.96,-6.07,0.00224,0.00119
379.7,133.346,3.05,-6.12,NaN,NaN
379.8,133.379,3.05,-6.24,0.00206,0.00114
379.9,133.411,3.17,-5.91,NaN,NaN
380,133.444,3.19,-5.89,0.00202,0.00122
380.1,133.476,3.1,-5.87,NaN,NaN
380.2,133.508,2.92,-5.92,0.00216,0.00118
380.3,133.541,2.96,-5.94,NaN,NaN
380.4,133.573,2.89,-5.82,0.002,0.00131
380.5,133.605,2.85,-5.94,NaN,NaN
380.6,133.638,2.68,-6.11,0.00202,0.00135
380.7,133.67,2.68,-6.12,NaN,NaN
380.8,133.703,2.74,-6.05,0.00207,0.00155
380.9,133.735,2.64,-6.15,NaN,NaN
381,133.767,2.67,-6.06,0.00221,0.00133
381.2,133.832,2.69,-6.11,0.00249,0.00157
381.3,133.865,2.51,-6.21,NaN,NaN
381.4,133.897,2.46,-6.16,NaN,NaN
381.5,133.929,2.6,-6.22,NaN,NaN
381.6,133.962,2.46,-6.16,NaN,NaN
381.7,133.994,2.53,-6.11,NaN,NaN
381.8,134.027,2.42,-6.23,NaN,NaN
381.9,134.059,2.64,-5.99,NaN,NaN
